text,category,priority
Dirty drain causing disease spread in Mohalla 7,Sanitation,Medium
Grass not trimmed in Village Kalan public garden,Parks,Low
Chain snatching incidents in Mohalla 7 area,Safety,Medium
Sewage overflow on School Lane street near Sector 5,Sanitation,High
Hospital ward overcrowded in Block 3,Healthcare,Critical
School roof leaking during rain in Town Area,Education,Low
No street lights on dark MG Road lane,Electricity,Low
Sewage mixing with drinking water in Village Kalan,Water,Critical
Unauthorized commercial construction in Zone 4,Construction,Medium
No road markings visible at night on School Lane,Road,Medium
Water meter showing wrong reading in Mohalla 7,Water,High
Water supply disrupted since 2 days,Water,High
Blood bank not available in Colony B hospital,Healthcare,High
Road encroachment by shops on NH-8,Road,High
Women safety issues at Nagar Panchayat bus stop,Safety,Critical
Children playground dirty and unsafe in Village Kalan,Parks,Medium
Anganwadi center closed for 5 days in Ward 12,Education,High
Bridge has cracks need urgent repair on School Lane,Road,High
Construction blocking entrance to Nagar Panchayat school,Construction,High
Park walls have graffiti in Sector 5,Parks,Low
No water pressure in building in Nagar Panchayat,Water,Low
Power cut every day in Village Kalan for 5 hours,Electricity,High
Garden lights not working in Mohalla 7 park,Parks,Low
Park pathway broken and dangerous in Colony B,Parks,Medium
Illegal liquor shop operating openly in Nagar Panchayat,Safety,Critical
Expired medicines given at Sector 5 clinic,Healthcare,High
Public toilet not maintained in Mohalla 7,Sanitation,Medium
No doctors available at PHC in Village Kalan for 21 days,Healthcare,Critical
Open defecation area near Sector 5 school,Sanitation,Low
No footpath for pedestrians on Station Road,Transport,Low
Road waterlogged after rain near Nagar Panchayat,Road,Low
No drinking water in Nagar Panchayat park,Parks,Low
Construction debris on footpath on Station Road,Construction,Medium
Electric poles damaged after storm near Sector 5,Electricity,Low
Water tanker not arriving on schedule in Sector 5,Water,Low
Open drain overflowing near Mohalla 7 homes,Sanitation,Medium
Park pathway broken and dangerous in Zone 4,Parks,Low
Water meter showing wrong reading in Town Area,Water,High
Electricity bill error for Mohalla 7 residents,Electricity,High
Underground water leakage on Market Street,Water,Critical
No lighting in dark lanes near Ward 12,Safety,Critical
Night watchman absent from Nagar Panchayat,Safety,Critical
No sports facilities in Zone 4 school,Education,High
Road construction debris not cleared near Block 3,Road,Medium
Electricity bill error for Town Area residents,Electricity,High
Construction blocking entrance to Town Area school,Construction,Medium
No doctors available at PHC in Mohalla 7 for 2 days,Healthcare,Critical
Power outage in Puram Extension colony since morning,Electricity,High
Hospital building in bad condition in Zone 4,Healthcare,Critical
Street harassment near Zone 4 school daily,Safety,Critical
Footover bridge broken near Nagar Panchayat station,Transport,Medium
Vaccination camp not organized in Town Area,Healthcare,High
Water supply disrupted since 3 days,Water,Medium
No power supply during festival in Ward 12,Electricity,Low
Building under construction without permit in Colony B,Construction,High
Electric poles damaged after storm near Colony B,Electricity,Medium
No drinking water in Ward 12 school,Education,Medium
Illegal construction blocking NH-8 in Sector 5,Construction,Low
Dirty conditions in Sector 5 government hospital,Healthcare,High
Children playground dirty and unsafe in Colony B,Parks,Medium
No doctors available at PHC in Block 3 for 30 days,Healthcare,Critical
Waste collection vehicle not coming to Town Area,Sanitation,Medium
Illegal liquor shop operating openly in Zone 4,Safety,High
No ASHA worker in Zone 4 area since 2 days,Healthcare,High
Open drain overflowing near Sector 5 homes,Sanitation,Critical
Electric poles damaged after storm near Colony B,Electricity,High
No electricity for 30 days in Mohalla 7,Electricity,Low
No lighting in dark lanes near Town Area,Safety,Critical
Bus service not available to Colony B village,Transport,Low
Playground equipment damaged in Puram Extension park,Parks,Low
Night watchman absent from Sector 5,Safety,Critical
No maintenance of Sector 5 garden since 7 days,Parks,Medium
Water meter showing wrong reading in Ward 12,Water,Critical
Computer lab non-functional in Colony B school,Education,Low
Road is completely broken near Town Area since 21 days,Road,Medium
Road cave-in near Puram Extension drainage line,Road,Medium
Dirty conditions in Puram Extension government hospital,Healthcare,Medium
Waste collection vehicle not coming to Puram Extension,Sanitation,Critical
Road waterlogged after rain near Village Kalan,Road,Low
Building violating height norms in Zone 4,Construction,Low
Leaking water pipe wasting water on Old Delhi Road,Water,High
No parking facility near Nagar Panchayat market,Transport,Medium
No bus shelter at Puram Extension bus stop,Transport,Low
Gambling den operating in Block 3,Safety,High
Construction debris on footpath on MG Road,Construction,Medium
No security guard in Puram Extension park,Parks,Low
Park walls have graffiti in Nagar Panchayat,Parks,Low
Computer lab non-functional in Sector 5 school,Education,High
No parking facility near Village Kalan market,Transport,Medium
Unauthorized extension built in Colony B,Construction,Low
No lighting in dark lanes near Puram Extension,Safety,Critical
Street lights not working on Main Bazaar since 7 days,Electricity,Low
Power outage in Colony B colony since morning,Electricity,High
No toilets in Nagar Panchayat government school,Education,Medium
Vaccination camp not organized in Nagar Panchayat,Healthcare,Medium
No toilets in Nagar Panchayat government school,Education,Low
Teachers absent regularly from Mohalla 7 school,Education,Medium
Teachers absent regularly from Puram Extension school,Education,Medium
Building violating height norms in Block 3,Construction,Medium
Divider damaged on Hospital Road main street,Road,High
CCTV cameras not working on Old Delhi Road,Transport,High
Anganwadi center closed for 21 days in Town Area,Education,Medium
Construction work damaging water pipeline in Sector 5,Construction,High
No parking facility near Town Area market,Transport,Low
No power supply during festival in Town Area,Electricity,High
Leaking water pipe wasting water on MG Road,Water,Critical
Health worker absent from Village Kalan since 3 days,Healthcare,Critical
Electric poles damaged after storm near Block 3,Electricity,Medium
No street lights on dark School Lane lane,Electricity,High
Construction affecting water supply in Colony B,Construction,Low
Park fountains not working in Colony B,Parks,Medium
Dirty brown water coming from tap in Zone 4,Water,Low
Building under construction without permit in Zone 4,Construction,Medium
Expired medicines given at Village Kalan clinic,Healthcare,Medium
Garbage burning near Puram Extension school,Sanitation,Critical
Suspicious activity near ATM in Block 3,Safety,Critical
Lights flickering in Colony B residential area,Electricity,Low
Garden lights not working in Mohalla 7 park,Parks,Low
Hospital building in bad condition in Zone 4,Healthcare,Medium
Open drain overflowing near Zone 4 homes,Sanitation,Medium
Park gate broken in Mohalla 7,Parks,Low
Medical equipment not working in Ward 12 hospital,Healthcare,Critical
Road cave-in near Town Area drainage line,Road,High
Public toilet not maintained in Sector 5,Sanitation,High
Health worker absent from Puram Extension since 3 days,Healthcare,Critical
Water tank overflow flooding School Lane,Water,High
Dirty brown water coming from tap in Sector 5,Water,High
Footpath broken and dangerous for walkers near Zone 4,Road,Medium
Untrained teachers in Ward 12 primary school,Education,Medium
Drug dealing happening in Nagar Panchayat park,Safety,High
Drain blocked for 5 days in Town Area,Sanitation,Medium
School has no blackboards in Sector 5,Education,Low
E-rickshaw causing traffic jam in Zone 4,Transport,Low
Electric poles damaged after storm near Sector 5,Electricity,Low
Electric meter not working properly in Puram Extension,Electricity,High
Rubble dumped on Hospital Road by contractor,Construction,Low
Speed breaker damaged on Hospital Road highway,Road,High
Computer lab non-functional in Zone 4 school,Education,Low
Vaccination camp not organized in Block 3,Healthcare,High
Theft incidents increasing in Block 3 locality,Safety,High
Open drain overflowing near Village Kalan homes,Sanitation,Medium
Health worker absent from Ward 12 since 21 days,Healthcare,Medium
Footover bridge broken near Sector 5 station,Transport,High
Traffic signals not working on Hospital Road,Transport,Low
Park benches broken and unusable in Puram Extension,Parks,Low
Unmarked speed breaker causing accidents on Station Road,Road,Medium
School building in bad condition in Mohalla 7,Education,High
Park benches broken and unusable in Zone 4,Parks,Low
Unmarked speed breaker causing accidents on Hospital Road,Road,Low
Electric poles damaged after storm near Zone 4,Electricity,High
No water pressure in building in Village Kalan,Water,Low
Ambulance service not responding in Zone 4,Healthcare,Critical
Demolition without safety measures in Block 3,Construction,Low
No sports facilities in Town Area school,Education,Low
No power supply during festival in Puram Extension,Electricity,Low
Garbage not collected for 2 days in Mohalla 7,Sanitation,Medium
Lights flickering in Ward 12 residential area,Electricity,Medium
Illegal water connection in Zone 4,Water,Critical
No road markings visible at night on Ring Road,Road,Medium
Contaminated water supply causing illness in Colony B,Water,Medium
CCTV cameras not working on MG Road,Transport,High
Power outage in Block 3 colony since morning,Electricity,Low
Park walls have graffiti in Ward 12,Parks,Low
Bins not emptied since last week in Zone 4,Sanitation,High
Unauthorized commercial construction in Mohalla 7,Construction,Medium
Water tanker not arriving on schedule in Block 3,Water,Critical
Illegal construction blocking Main Bazaar in Ward 12,Construction,Medium
Divider damaged on Temple Road main street,Road,Low
School building in bad condition in Village Kalan,Education,Low
No boundary wall in Town Area school,Education,Low
Construction debris on footpath on Temple Road,Construction,High
Street flooding on Main Bazaar during monsoon,Road,Low
Public toilet not maintained in Colony B,Sanitation,Critical
Transformer blew up near Mohalla 7 market,Electricity,Low
No bus shelter at Nagar Panchayat bus stop,Transport,Medium
Road is completely broken near Zone 4 since 7 days,Road,Medium
Broken road divider on Station Road is dangerous,Road,High
No water supply for past 5 days in Mohalla 7,Water,Low
Computer lab non-functional in Sector 5 school,Education,High
Suspicious activity near ATM in Mohalla 7,Safety,High
Divider damaged on Hospital Road main street,Road,High
Hospital ward overcrowded in Sector 5,Healthcare,Critical
Blood bank not available in Zone 4 hospital,Healthcare,High
Lights flickering in Zone 4 residential area,Electricity,Medium
Water pipe burst on Temple Road flooding the street,Water,Critical
Library books damaged in Village Kalan school,Education,High
No water pressure in building in Town Area,Water,Low
Water meter showing wrong reading in Ward 12,Water,High
Ambulance service not responding in Puram Extension,Healthcare,Critical
High voltage wire hanging low on School Lane,Electricity,High
Underground water leakage on NH-8,Water,High
Electric meter not working properly in Town Area,Electricity,Medium
Water tanker not arriving on schedule in Town Area,Water,Low
CCTV cameras vandalized near Block 3,Safety,Medium
Broken road divider on Station Road is dangerous,Road,High
Road cave-in near Puram Extension drainage line,Road,Medium
Auto drivers overcharging passengers in Puram Extension,Transport,High
Ambulance service not responding in Colony B,Healthcare,Critical
Waste collection vehicle not coming to Block 3,Sanitation,High
Street lamp broken near bus stop on Old Delhi Road,Electricity,High
Long queues at Zone 4 government dispensary,Healthcare,Critical
No drinking water in Colony B school,Education,Medium
Sewage smell unbearable near Ward 12,Sanitation,High
No doctors available at PHC in Block 3 for 30 days,Healthcare,High
Dirty drain causing disease spread in Puram Extension,Sanitation,Medium
Bus routes reduced suddenly in Puram Extension,Transport,Medium
Transformer blew up near Zone 4 market,Electricity,Low
Hospital ward overcrowded in Sector 5,Healthcare,Critical
Construction dust affecting Puram Extension residents,Construction,Low
Trees fallen in Ward 12 park after storm,Parks,Medium
No water supply for past 21 days in Puram Extension,Water,High
Park walls have graffiti in Ward 12,Parks,Low
Ambulance service not responding in Zone 4,Healthcare,Critical
Children playground dirty and unsafe in Mohalla 7,Parks,Low
Broken road divider on NH-8 is dangerous,Road,Critical
Street lights not working on Market Street since 3 days,Electricity,Low
No boundary wall in Village Kalan school,Education,Low
Street lamp broken near bus stop on Temple Road,Electricity,High
Road cave-in near Zone 4 drainage line,Road,Medium
Night watchman absent from Sector 5,Safety,Critical
Bus service not available to Mohalla 7 village,Transport,Medium
Park fountains not working in Block 3,Parks,Low
Construction noise during night hours in Puram Extension,Construction,Medium
Transformer blew up near Town Area market,Electricity,Low
No street lights on dark Temple Road lane,Electricity,Low
Park walls have graffiti in Colony B,Parks,Medium
Water tank overflow flooding Main Bazaar,Water,High
Garden lights not working in Mohalla 7 park,Parks,Low
Electricity bill error for Village Kalan residents,Electricity,Medium
Road waterlogged after rain near Mohalla 7,Road,Medium
Suspicious activity near ATM in Block 3,Safety,Medium
Electricity bill error for Colony B residents,Electricity,Low
Speed breaker damaged on Market Street highway,Road,High
Water meter showing wrong reading in Sector 5,Water,Critical
Road cave-in near Village Kalan drainage line,Road,Critical
Illegal electrical connections spotted in Colony B,Electricity,Low
Bus routes reduced suddenly in Mohalla 7,Transport,Medium
No footpath for pedestrians on Temple Road,Transport,Low
No sports facilities in Block 3 school,Education,High
Rowdy elements troubling residents of Colony B,Safety,Critical
CCTV cameras vandalized near Colony B,Safety,High
Theft incidents increasing in Village Kalan locality,Safety,Medium
School missing benches for students in Nagar Panchayat,Education,High
Vaccination camp not organized in Colony B,Healthcare,Medium
Auto drivers overcharging passengers in Sector 5,Transport,Low
Rubble dumped on Temple Road by contractor,Construction,High
Computer lab non-functional in Village Kalan school,Education,High
School roof leaking during rain in Sector 5,Education,Medium
Street harassment near Nagar Panchayat school daily,Safety,Medium
Public toilet not maintained in Ward 12,Sanitation,High
No ASHA worker in Ward 12 area since 2 days,Healthcare,High
Dead animals not removed from Hospital Road,Sanitation,Medium
No ambulance available in Zone 4,Healthcare,High
Demolition without safety measures in Town Area,Construction,Medium
Unauthorized extension built in Sector 5,Construction,Low
Gambling den operating in Ward 12,Safety,Medium
Open drain overflowing near Town Area homes,Sanitation,Medium
Building violating height norms in Block 3,Construction,Medium
Street lights not working on Station Road since 10 days,Electricity,Medium
No doctors available at PHC in Mohalla 7 for 30 days,Healthcare,High
No power supply during festival in Nagar Panchayat,Electricity,High
Grass not trimmed in Colony B public garden,Parks,Low
No ASHA worker in Nagar Panchayat area since 30 days,Healthcare,High
Night watchman absent from Village Kalan,Safety,High
School missing benches for students in Mohalla 7,Education,High
Water tanker not arriving on schedule in Puram Extension,Water,Low
No specialist doctor in Zone 4 PHC,Healthcare,Critical
Water tanker not arriving on schedule in Zone 4,Water,Critical
Park occupied by illegal vendors in Puram Extension,Parks,Low
Water supply cut off for 7 days in Mohalla 7,Water,Critical
Water pipeline broken near Town Area school,Water,Low
No last mile connectivity in Mohalla 7,Transport,Low
Suspicious activity near ATM in Mohalla 7,Safety,Medium
Sewage mixing with drinking water in Town Area,Water,Critical
Water pipeline broken near Sector 5 school,Water,Low
No footpath for pedestrians on MG Road,Transport,Low
Gambling den operating in Nagar Panchayat,Safety,High
Garbage burning near Town Area school,Sanitation,High
Night watchman absent from Nagar Panchayat,Safety,High
Park pathway broken and dangerous in Nagar Panchayat,Parks,Medium
Road encroachment by shops on Main Bazaar,Road,Low
Broken road divider on Old Delhi Road is dangerous,Road,Critical
Divider damaged on Market Street main street,Road,High
Construction debris on footpath on NH-8,Construction,High
Untrained teachers in Mohalla 7 primary school,Education,Medium
Night watchman absent from Mohalla 7,Safety,Medium
E-rickshaw causing traffic jam in Block 3,Transport,High
School building in bad condition in Sector 5,Education,High
Encroachment in Colony B public park area,Parks,Low
No safety net during construction in Mohalla 7,Construction,Low
Park pathway broken and dangerous in Village Kalan,Parks,Low
CCTV cameras vandalized near Block 3,Safety,Medium
Health worker absent from Block 3 since 30 days,Healthcare,Medium
No maintenance of Block 3 garden since 7 days,Parks,Low
Road cave-in near Colony B drainage line,Road,High
Computer lab non-functional in Zone 4 school,Education,Medium
Large pothole on Old Delhi Road causing accidents near Village Kalan,Road,Critical
Auto drivers overcharging passengers in Puram Extension,Transport,Low
No maintenance of Ward 12 garden since 2 days,Parks,Low
No bus shelter at Mohalla 7 bus stop,Transport,High
Construction debris on footpath on Old Delhi Road,Construction,High
Park walls have graffiti in Block 3,Parks,Low
Power cut every day in Block 3 for 7 hours,Electricity,High
Drain blocked for 3 days in Puram Extension,Sanitation,Critical
Lights flickering in Puram Extension residential area,Electricity,Medium
No sports facilities in Ward 12 school,Education,High
Water tank overflow flooding Ring Road,Water,Medium
Construction blocking entrance to Puram Extension school,Construction,High
Road construction debris not cleared near Puram Extension,Road,High
No drinking water in Sector 5 school,Education,Low
Illegal water connection in Block 3,Water,High
No lighting in dark lanes near Nagar Panchayat,Safety,Medium
Dirty brown water coming from tap in Puram Extension,Water,High
Water supply cut off for 7 days in Colony B,Water,High
Park fountains not working in Ward 12,Parks,Medium
Garden lights not working in Colony B park,Parks,Low
Divider damaged on NH-8 main street,Road,High
Footpath broken and dangerous for walkers near Ward 12,Road,Critical
No water pressure in building in Village Kalan,Water,Critical
Sewage overflow on Hospital Road street near Nagar Panchayat,Sanitation,High
Illegal parking blocking Old Delhi Road in Town Area,Transport,High
School roof leaking during rain in Colony B,Education,Medium
Street harassment near Mohalla 7 school daily,Safety,Medium
Women safety issues at Town Area bus stop,Safety,Medium
Computer lab non-functional in Sector 5 school,Education,High
Children playground dirty and unsafe in Village Kalan,Parks,Low
Park occupied by illegal vendors in Nagar Panchayat,Parks,Low
No road markings visible at night on Main Bazaar,Road,High
Speed breaker damaged on MG Road highway,Road,Critical
Potholes causing vehicle damage on Ring Road,Road,Medium
Road waterlogged after rain near Nagar Panchayat,Road,Critical
Sewage smell unbearable near Zone 4,Sanitation,Medium
Building under construction without permit in Mohalla 7,Construction,Low
Road is completely broken near Ward 12 since 21 days,Road,High
Hospital ward overcrowded in Zone 4,Healthcare,High
Long queues at Nagar Panchayat government dispensary,Healthcare,Critical
Broken road divider on School Lane is dangerous,Road,High
Electricity bill error for Town Area residents,Electricity,High
Encroachment in Zone 4 public park area,Parks,Low
Drain blocked for 30 days in Zone 4,Sanitation,Medium
No electricity for 21 days in Ward 12,Electricity,Medium
Contaminated water supply causing illness in Town Area,Water,Low
Power outage in Colony B colony since morning,Electricity,High
Demolition without safety measures in Colony B,Construction,High
Power cut every day in Sector 5 for 10 hours,Electricity,Low
Garbage not collected for 5 days in Puram Extension,Sanitation,Medium
Bus routes reduced suddenly in Sector 5,Transport,High
Suspicious activity near ATM in Zone 4,Safety,Critical
Dirty conditions in Village Kalan government hospital,Healthcare,Critical
Untrained teachers in Puram Extension primary school,Education,Low
Encroachment in Village Kalan public park area,Parks,Low
Stray dogs near garbage dump in Nagar Panchayat,Sanitation,High
Contaminated water supply causing illness in Village Kalan,Water,High
No street lights on dark School Lane lane,Electricity,High
No security guard in Town Area park,Parks,Low
Road is completely broken near Town Area since 30 days,Road,Medium
Overloaded vehicles causing accidents on Temple Road,Transport,Medium
Women safety issues at Nagar Panchayat bus stop,Safety,Medium
No parking facility near Mohalla 7 market,Transport,High
Encroachment in Town Area public park area,Parks,Low
Women safety issues at Colony B bus stop,Safety,High
No maintenance of Town Area garden since 7 days,Parks,Medium
Chain snatching incidents in Puram Extension area,Safety,High
Dirty drain causing disease spread in Village Kalan,Sanitation,Low
Medical equipment not working in Sector 5 hospital,Healthcare,Critical
Sewage smell unbearable near Block 3,Sanitation,Low
Electric meter not working properly in Village Kalan,Electricity,High
No sports facilities in Sector 5 school,Education,Medium
Dirty drain causing disease spread in Puram Extension,Sanitation,Medium
Playground equipment damaged in Zone 4 park,Parks,Low
Anganwadi center closed for 3 days in Mohalla 7,Education,Medium
Potholes causing vehicle damage on Station Road,Road,High
Broken road divider on Station Road is dangerous,Road,Critical
CCTV cameras vandalized near Puram Extension,Safety,High
No last mile connectivity in Puram Extension,Transport,Low
Water pipe burst on Station Road flooding the street,Water,Critical
Electric box sparking near Puram Extension school,Electricity,Medium
Drug dealing happening in Sector 5 park,Safety,High
Playground equipment damaged in Zone 4 park,Parks,Medium
Road is completely broken near Colony B since 2 days,Road,High
Leaking water pipe wasting water on Temple Road,Water,High
Illegal water connection in Village Kalan,Water,High
Construction debris on footpath on Ring Road,Construction,High
Bus routes reduced suddenly in Mohalla 7,Transport,Medium
Open drain overflowing near Ward 12 homes,Sanitation,Low
Park walls have graffiti in Ward 12,Parks,Low
Road is completely broken near Mohalla 7 since 21 days,Road,Low
Illegal liquor shop operating openly in Mohalla 7,Safety,Medium
No bus shelter at Town Area bus stop,Transport,High
No ASHA worker in Nagar Panchayat area since 21 days,Healthcare,High
Gambling den operating in Puram Extension,Safety,Medium
Trees fallen in Sector 5 park after storm,Parks,Low
No maintenance of Mohalla 7 garden since 10 days,Parks,Medium
Large pothole on Station Road causing accidents near Puram Extension,Road,Medium
Bridge has cracks need urgent repair on School Lane,Road,High
Teachers absent regularly from Nagar Panchayat school,Education,High
No footpath for pedestrians on Temple Road,Transport,Low
Unauthorized commercial construction in Village Kalan,Construction,Low
Electric meter not working properly in Colony B,Electricity,Low
Teachers absent regularly from Nagar Panchayat school,Education,Low
Park fountains not working in Sector 5,Parks,Medium
No last mile connectivity in Sector 5,Transport,Low
Building violating height norms in Zone 4,Construction,High
No bus shelter at Sector 5 bus stop,Transport,Medium
Chain snatching incidents in Block 3 area,Safety,Medium
No sports facilities in Village Kalan school,Education,Low
Park benches broken and unusable in Mohalla 7,Parks,Medium
Gambling den operating in Town Area,Safety,Medium
School missing benches for students in Town Area,Education,High
Playground equipment damaged in Ward 12 park,Parks,Low
Overloaded vehicles causing accidents on Temple Road,Transport,High
Street lamp broken near bus stop on Ring Road,Electricity,Medium
Sewage mixing with drinking water in Town Area,Water,Critical
Park pathway broken and dangerous in Puram Extension,Parks,Low
No ASHA worker in Sector 5 area since 14 days,Healthcare,Critical
Sewage mixing with drinking water in Sector 5,Water,Low
Underground water leakage on School Lane,Water,High
No water pressure in building in Sector 5,Water,Critical
No power supply during festival in Puram Extension,Electricity,High
Street flooding on Market Street during monsoon,Road,Medium
No toilets in Puram Extension government school,Education,High
Contaminated water supply causing illness in Town Area,Water,High
Health worker absent from Colony B since 14 days,Healthcare,Critical
Encroachment in Block 3 public park area,Parks,Medium
Vaccination camp not organized in Village Kalan,Healthcare,Medium
Vaccination camp not organized in Village Kalan,Healthcare,Critical
Night watchman absent from Sector 5,Safety,Medium
Rubble dumped on Temple Road by contractor,Construction,Low
Road encroachment by shops on School Lane,Road,Critical
Construction debris on footpath on Main Bazaar,Construction,High
Gambling den operating in Town Area,Safety,High
Unsafe scaffolding near Station Road,Construction,Medium
Water supply disrupted since 14 days,Water,Low
School has no blackboards in Zone 4,Education,Low
Illegal parking blocking Temple Road in Ward 12,Transport,Medium
Street lights not working on NH-8 since 10 days,Electricity,Low
Open defecation area near Puram Extension school,Sanitation,High
No water supply for past 7 days in Puram Extension,Water,Low
Hospital building in bad condition in Town Area,Healthcare,High
Health worker absent from Village Kalan since 21 days,Healthcare,High
Library books damaged in Nagar Panchayat school,Education,Low
Electric meter not working properly in Puram Extension,Electricity,Low
Sewage smell unbearable near Village Kalan,Sanitation,Low
Potholes causing vehicle damage on School Lane,Road,Critical
No toilets in Puram Extension government school,Education,High
Power outage in Sector 5 colony since morning,Electricity,Medium
No footpath for pedestrians on Temple Road,Transport,Low
Overloaded vehicles causing accidents on School Lane,Transport,Low
Construction dust affecting Town Area residents,Construction,Low
Night watchman absent from Mohalla 7,Safety,High
Road construction debris not cleared near Colony B,Road,Critical
Electric meter not working properly in Village Kalan,Electricity,High
Water pipeline broken near Ward 12 school,Water,Medium
Rowdy elements troubling residents of Ward 12,Safety,Medium
Public toilet not maintained in Nagar Panchayat,Sanitation,High
Electric poles damaged after storm near Nagar Panchayat,Electricity,High
Medical equipment not working in Nagar Panchayat hospital,Healthcare,High
Construction work damaging water pipeline in Town Area,Construction,High
Footpath broken and dangerous for walkers near Village Kalan,Road,Critical
Scholarship money not distributed in Village Kalan,Education,High
Water meter showing wrong reading in Ward 12,Water,Critical
Construction blocking entrance to Colony B school,Construction,Low
No ambulance available in Ward 12,Healthcare,High
Sewage smell unbearable near Sector 5,Sanitation,Medium
No electricity for 7 days in Nagar Panchayat,Electricity,Medium
Chain snatching incidents in Sector 5 area,Safety,High
Illegal liquor shop operating openly in Nagar Panchayat,Safety,Medium
No dustbin provided in Ward 12 market,Sanitation,High
No street lights on dark Old Delhi Road lane,Electricity,Medium
No road markings visible at night on MG Road,Road,High
Library books damaged in Mohalla 7 school,Education,Low
Drug dealing happening in Ward 12 park,Safety,Critical
Health worker absent from Ward 12 since 14 days,Healthcare,High
Women safety issues at Town Area bus stop,Safety,Critical
Bus service not available to Ward 12 village,Transport,Medium
Bridge has cracks need urgent repair on School Lane,Road,Low
Bus routes reduced suddenly in Mohalla 7,Transport,Medium
Illegal water connection in Ward 12,Water,High
Park walls have graffiti in Zone 4,Parks,Medium
Electricity bill error for Ward 12 residents,Electricity,Low
Construction blocking entrance to Colony B school,Construction,Medium
Water pipeline broken near Zone 4 school,Water,High
Building violating height norms in Nagar Panchayat,Construction,High
Construction work damaging water pipeline in Mohalla 7,Construction,High
Mid-day meal not provided in Colony B school,Education,High
Drug dealing happening in Zone 4 park,Safety,High
No specialist doctor in Town Area PHC,Healthcare,Critical
Rowdy elements troubling residents of Block 3,Safety,High
Road encroachment by shops on Ring Road,Road,Medium
Water supply cut off for 7 days in Colony B,Water,Critical
Open drain overflowing near Village Kalan homes,Sanitation,High
No power supply during festival in Mohalla 7,Electricity,Medium
No security guard in Puram Extension park,Parks,Medium
Construction dust affecting Zone 4 residents,Construction,High
No water pressure in building in Colony B,Water,Low
Footover bridge broken near Sector 5 station,Transport,Low
Children playground dirty and unsafe in Sector 5,Parks,Low
Road cave-in near Colony B drainage line,Road,High
Rubble dumped on Market Street by contractor,Construction,High
Anganwadi center closed for 14 days in Block 3,Education,Medium
No security guard in Sector 5 park,Parks,Medium
No dustbin provided in Nagar Panchayat market,Sanitation,Medium
Illegal water connection in Colony B,Water,High
Water pipeline broken near Puram Extension school,Water,High
Street lamp broken near bus stop on Market Street,Electricity,High
High voltage wire hanging low on Market Street,Electricity,High
Illegal parking blocking School Lane in Block 3,Transport,Low
Broken road divider on Hospital Road is dangerous,Road,Critical
Public toilet not maintained in Mohalla 7,Sanitation,High
Illegal water connection in Colony B,Water,Low
No last mile connectivity in Block 3,Transport,Low
No dustbin provided in Mohalla 7 market,Sanitation,High
No last mile connectivity in Sector 5,Transport,Low
Road encroachment by shops on Old Delhi Road,Road,High
Speed breaker damaged on Old Delhi Road highway,Road,Low
Unsafe scaffolding near MG Road,Construction,High
Expired medicines given at Town Area clinic,Healthcare,High
Transformer blew up near Block 3 market,Electricity,Medium
No dustbin provided in Village Kalan market,Sanitation,High
Park gate broken in Mohalla 7,Parks,Medium
Water pipe burst on Temple Road flooding the street,Water,Medium
Road construction debris not cleared near Sector 5,Road,Low
Bridge has cracks need urgent repair on NH-8,Road,Low
Long queues at Town Area government dispensary,Healthcare,High
No last mile connectivity in Zone 4,Transport,Low
Bus routes reduced suddenly in Block 3,Transport,Medium
Hospital building in bad condition in Village Kalan,Healthcare,High
Broken road divider on Station Road is dangerous,Road,Low
Divider damaged on School Lane main street,Road,Medium
Trees fallen in Mohalla 7 park after storm,Parks,Low
No boundary wall in Colony B school,Education,Low
Construction noise during night hours in Sector 5,Construction,Medium
No ambulance available in Village Kalan,Healthcare,Critical
Building violating height norms in Sector 5,Construction,High
Water supply cut off for 30 days in Town Area,Water,Critical
Transformer blew up near Zone 4 market,Electricity,Medium
Scholarship money not distributed in Town Area,Education,High
School building in bad condition in Town Area,Education,Low
Public toilet not maintained in Block 3,Sanitation,Medium
Ambulance service not responding in Village Kalan,Healthcare,High
Footpath broken and dangerous for walkers near Town Area,Road,Low
No safety net during construction in Block 3,Construction,Low
No power supply during festival in Sector 5,Electricity,High
Road cave-in near Colony B drainage line,Road,Medium
Street lights not working on Station Road since 2 days,Electricity,Medium
CCTV cameras not working on Old Delhi Road,Transport,Low
School has no blackboards in Ward 12,Education,High
Park occupied by illegal vendors in Mohalla 7,Parks,Low
High voltage wire hanging low on Temple Road,Electricity,Medium
Road encroachment by shops on NH-8,Road,Low
Unauthorized extension built in Village Kalan,Construction,Medium
Street flooding on NH-8 during monsoon,Road,Low
Rubble dumped on Ring Road by contractor,Construction,High
No toilets in Zone 4 government school,Education,High
Sewage mixing with drinking water in Town Area,Water,Critical
CCTV cameras not working on School Lane,Transport,High
Park pathway broken and dangerous in Puram Extension,Parks,Low
Library books damaged in Block 3 school,Education,High
Dirty conditions in Village Kalan government hospital,Healthcare,High
Garbage dump near Ward 12 residential area,Sanitation,Medium
Road encroachment by shops on School Lane,Road,High
No road markings visible at night on Main Bazaar,Road,Low
Park pathway broken and dangerous in Sector 5,Parks,Medium
Water supply disrupted since 7 days,Water,Medium
Unauthorized commercial construction in Zone 4,Construction,Low
Teachers absent regularly from Village Kalan school,Education,Low
No street lights on dark School Lane lane,Electricity,Low
Dead animals not removed from Market Street,Sanitation,Critical
