feedback_text,sentiment,rating,category,ward
Power outage scheduled for maintenance work,NEUTRAL,3,Public Safety,Ward 22
"Water supply erratic, pressure very low",NEGATIVE,2,Education,Ward 32
Happy with the prompt response from civic authorities,POSITIVE,5,Public Safety,Ward 3
Electricity department working on transformer upgrade,NEUTRAL,3,Public Safety,Ward 50
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Transport,Ward 10
"Electricity outages have reduced significantly, great work",POSITIVE,5,Electricity,Ward 27
Garbage collection timings have been changed to morning,NEUTRAL,3,Water,Ward 41
Project started but no updates for 6 months,NEGATIVE,2,Electricity,Ward 42
New project for park development announced for our ward,NEUTRAL,3,Roads,Ward 37
"Drainage work done excellently, no more waterlogging",POSITIVE,4,Construction,Ward 25
"Street lights broken since 2 months, no action taken",NEGATIVE,2,Parks,Ward 15
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,1,Public Safety,Ward 30
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Transport,Ward 4
The bridge repair was done with high quality materials,POSITIVE,5,Construction,Ward 42
Project started but no updates for 6 months,NEGATIVE,1,Healthcare,Ward 13
Public toilet construction tender has been floated,NEUTRAL,3,Public Safety,Ward 42
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,2,Construction,Ward 32
"Water pipe burst causing damage, no immediate action",NEGATIVE,2,Healthcare,Ward 25
"Water pipe burst causing damage, no immediate action",NEGATIVE,1,Sanitation,Ward 11
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Healthcare,Ward 11
The bridge repair was done with high quality materials,POSITIVE,5,Transport,Ward 29
Road repair work is ongoing in our sector,NEUTRAL,3,Parks,Ward 6
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Public Safety,Ward 17
The bridge repair was done with high quality materials,POSITIVE,4,Water,Ward 49
"Government hospital has no medicines, pathetic service",NEGATIVE,2,Electricity,Ward 21
"Water supply has improved a lot in our area, thank you",POSITIVE,5,Healthcare,Ward 23
"Quick action taken on our pothole complaint, impressed",POSITIVE,4,Education,Ward 29
"No water supply for the past 5 days, very frustrated",NEGATIVE,2,Sanitation,Ward 45
Road widening project completed ahead of schedule,POSITIVE,5,Water,Ward 21
"Road marking done properly, reduces accidents at night",POSITIVE,4,Parks,Ward 24
Hospital renovation work started last month,NEUTRAL,3,Healthcare,Ward 32
Power outage scheduled for maintenance work,NEUTRAL,3,Parks,Ward 8
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Transport,Ward 1
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Education,Ward 6
Drainage cleaning drive happening next week,NEUTRAL,3,Education,Ward 3
"Street lights broken since 2 months, no action taken",NEGATIVE,1,Transport,Ward 14
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Roads,Ward 5
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,4,Public Safety,Ward 6
Water pipeline replacement work in progress,NEUTRAL,3,Education,Ward 10
"Public toilet in horrible condition, very unhygienic",NEGATIVE,2,Education,Ward 34
Garbage collection timings have been changed to morning,NEUTRAL,3,Water,Ward 45
"No street lights on dark lane, women feel unsafe",NEGATIVE,1,Healthcare,Ward 47
Drainage cleaning drive happening next week,NEUTRAL,3,Transport,Ward 30
Survey completed for new drainage line,NEUTRAL,3,Transport,Ward 27
Great improvement in garbage collection frequency,POSITIVE,5,Healthcare,Ward 11
"Bridge cracks visible, no action from authorities",NEGATIVE,2,Transport,Ward 43
Garbage collection timings have been changed to morning,NEUTRAL,3,Roads,Ward 44
"Road marking done properly, reduces accidents at night",POSITIVE,5,Healthcare,Ward 49
Garbage collection timings have been changed to morning,NEUTRAL,3,Sanitation,Ward 10
Work order issued for pothole repair,NEUTRAL,3,Parks,Ward 23
"Complained 10 times about potholes, zero response",NEGATIVE,2,Water,Ward 25
Great improvement in garbage collection frequency,POSITIVE,5,Education,Ward 22
Electricity cut for 3 days without any information,NEGATIVE,1,Public Safety,Ward 3
"Contractor used substandard materials, work failing",NEGATIVE,2,Education,Ward 45
"Road repair done poorly, breaking again within weeks",NEGATIVE,2,Education,Ward 40
Great improvement in garbage collection frequency,POSITIVE,4,Roads,Ward 18
"Complaint registered, under review by department",NEUTRAL,3,Healthcare,Ward 38
Project started but no updates for 6 months,NEGATIVE,2,Sanitation,Ward 41
Garbage collection timings have been changed to morning,NEUTRAL,3,Education,Ward 46
Road widening project completed ahead of schedule,POSITIVE,5,Water,Ward 41
Electricity cut for 3 days without any information,NEGATIVE,1,Electricity,Ward 23
"Electricity outages have reduced significantly, great work",POSITIVE,4,Transport,Ward 42
Electricity department working on transformer upgrade,NEUTRAL,3,Electricity,Ward 2
"Footpath construction completed, senior citizens are happy",POSITIVE,4,Public Safety,Ward 49
Construction of new school building underway,NEUTRAL,3,Roads,Ward 16
"Water pipe burst causing damage, no immediate action",NEGATIVE,2,Water,Ward 40
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,2,Parks,Ward 15
Bridge inspection scheduled for next week,NEUTRAL,3,Electricity,Ward 12
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Water,Ward 27
Road marking work will start after monsoon,NEUTRAL,3,Transport,Ward 12
The contractor did excellent work on the drainage project,POSITIVE,5,Water,Ward 44
Pothole on main road not fixed even after 3 complaints,NEGATIVE,1,Education,Ward 21
Water pipeline replacement work in progress,NEUTRAL,3,Construction,Ward 44
Hospital renovation work started last month,NEUTRAL,3,Electricity,Ward 8
New traffic signals have reduced accidents in our area,POSITIVE,5,Water,Ward 31
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Public Safety,Ward 41
"No water supply for the past 5 days, very frustrated",NEGATIVE,1,Public Safety,Ward 24
"Construction noise at midnight, residents suffering",NEGATIVE,1,Education,Ward 34
"Park facilities broken, children getting hurt",NEGATIVE,2,Sanitation,Ward 14
"Contractor used substandard materials, work failing",NEGATIVE,2,Public Safety,Ward 40
"Water supply erratic, pressure very low",NEGATIVE,2,Construction,Ward 1
Pothole on main road not fixed even after 3 complaints,NEGATIVE,1,Roads,Ward 35
"Water pipe burst causing damage, no immediate action",NEGATIVE,2,Electricity,Ward 7
Public toilets are now clean and well maintained,POSITIVE,5,Public Safety,Ward 25
"Complaint registered, under review by department",NEUTRAL,3,Construction,Ward 1
Power outage scheduled for maintenance work,NEUTRAL,3,Electricity,Ward 21
Bridge inspection scheduled for next week,NEUTRAL,3,Electricity,Ward 39
"Park facilities broken, children getting hurt",NEGATIVE,2,Healthcare,Ward 25
Solar street lights are a wonderful initiative,POSITIVE,5,Education,Ward 36
"Water supply erratic, pressure very low",NEGATIVE,2,Education,Ward 7
Survey completed for new drainage line,NEUTRAL,3,Transport,Ward 42
The contractor did excellent work on the drainage project,POSITIVE,5,Roads,Ward 12
"Drainage work done excellently, no more waterlogging",POSITIVE,5,Education,Ward 47
Authorities not responding to any complaints,NEGATIVE,2,Water,Ward 7
Power outage scheduled for maintenance work,NEUTRAL,3,Construction,Ward 14
"Complaint registered, under review by department",NEUTRAL,3,Electricity,Ward 36
"No water supply for the past 5 days, very frustrated",NEGATIVE,1,Water,Ward 6
The contractor did excellent work on the drainage project,POSITIVE,5,Public Safety,Ward 9
Electricity department working on transformer upgrade,NEUTRAL,3,Education,Ward 23
"Public toilet in horrible condition, very unhygienic",NEGATIVE,2,Construction,Ward 36
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Transport,Ward 22
New hospital wing is a great addition to our area,POSITIVE,4,Parks,Ward 32
"Park facilities broken, children getting hurt",NEGATIVE,1,Water,Ward 28
"Road marking done properly, reduces accidents at night",POSITIVE,4,Electricity,Ward 40
Road widening project completed ahead of schedule,POSITIVE,4,Healthcare,Ward 30
Street light maintenance scheduled for this weekend,NEUTRAL,3,Parks,Ward 12
Project completion date extended by two months,NEUTRAL,3,Parks,Ward 48
"The road repair was completed on time, very happy with the work",POSITIVE,5,Sanitation,Ward 37
"Contractor used substandard materials, work failing",NEGATIVE,1,Transport,Ward 8
Garbage collection timings have been changed to morning,NEUTRAL,3,Electricity,Ward 18
Environmental clearance received for park project,NEUTRAL,3,Electricity,Ward 3
"Street lights broken since 2 months, no action taken",NEGATIVE,2,Sanitation,Ward 48
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,1,Public Safety,Ward 34
"Street lights are working perfectly now, feel safe at night",POSITIVE,4,Education,Ward 5
"Water pipe burst causing damage, no immediate action",NEGATIVE,2,Roads,Ward 41
"Public toilet in horrible condition, very unhygienic",NEGATIVE,2,Education,Ward 36
Pothole on main road not fixed even after 3 complaints,NEGATIVE,1,Education,Ward 32
Hospital renovation work started last month,NEUTRAL,3,Construction,Ward 22
"Garbage not collected for a week, health hazard",NEGATIVE,2,Water,Ward 22
Hospital renovation work started last month,NEUTRAL,3,Electricity,Ward 33
New project for park development announced for our ward,NEUTRAL,3,Construction,Ward 27
Construction of new school building underway,NEUTRAL,3,Construction,Ward 7
Road marking work will start after monsoon,NEUTRAL,3,Education,Ward 26
Road dug up for pipeline but not restored for months,NEGATIVE,1,Water,Ward 47
"Bus route cancelled without notice, people suffering",NEGATIVE,2,Healthcare,Ward 24
Happy with the prompt response from civic authorities,POSITIVE,5,Transport,Ward 38
"Park renovation looks beautiful, children love it",POSITIVE,5,Public Safety,Ward 46
"Water quality has improved, no more complaints from residents",POSITIVE,5,Electricity,Ward 33
New bus route announcement expected soon,NEUTRAL,3,Parks,Ward 32
Street light maintenance scheduled for this weekend,NEUTRAL,3,Public Safety,Ward 21
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Healthcare,Ward 11
New traffic signals have reduced accidents in our area,POSITIVE,5,Roads,Ward 6
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,1,Parks,Ward 3
Environmental clearance received for park project,NEUTRAL,3,Parks,Ward 39
"Drainage work done excellently, no more waterlogging",POSITIVE,5,Roads,Ward 25
Solar street lights are a wonderful initiative,POSITIVE,5,Electricity,Ward 28
The sanitation team is doing a commendable job,POSITIVE,4,Parks,Ward 6
"Water pipe burst causing damage, no immediate action",NEGATIVE,1,Healthcare,Ward 23
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Construction,Ward 38
Road marking work will start after monsoon,NEUTRAL,3,Healthcare,Ward 36
"Street lights are working perfectly now, feel safe at night",POSITIVE,4,Sanitation,Ward 33
New project for park development announced for our ward,NEUTRAL,3,Roads,Ward 29
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Electricity,Ward 14
Road repair work is ongoing in our sector,NEUTRAL,3,Healthcare,Ward 15
New bus route announcement expected soon,NEUTRAL,3,Electricity,Ward 2
Traffic signal upgrade project is under review,NEUTRAL,3,Sanitation,Ward 48
Road widening project completed ahead of schedule,POSITIVE,5,Parks,Ward 36
Solar street lights are a wonderful initiative,POSITIVE,4,Transport,Ward 45
Bridge inspection scheduled for next week,NEUTRAL,3,Electricity,Ward 46
New school building construction is progressing well,POSITIVE,5,Parks,Ward 1
"Electricity outages have reduced significantly, great work",POSITIVE,4,Roads,Ward 30
Project started but no updates for 6 months,NEGATIVE,2,Electricity,Ward 36
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,1,Education,Ward 6
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Parks,Ward 12
"Street lights are working perfectly now, feel safe at night",POSITIVE,5,Roads,Ward 38
Traffic signal upgrade project is under review,NEUTRAL,3,Electricity,Ward 42
"Contractor used substandard materials, work failing",NEGATIVE,2,Sanitation,Ward 38
"Contractor used substandard materials, work failing",NEGATIVE,2,Parks,Ward 15
"Street lights are working perfectly now, feel safe at night",POSITIVE,5,Roads,Ward 46
The construction work was neat and professional,POSITIVE,5,Transport,Ward 11
Street light maintenance scheduled for this weekend,NEUTRAL,3,Parks,Ward 50
Project started but no updates for 6 months,NEGATIVE,1,Construction,Ward 50
Survey completed for new drainage line,NEUTRAL,3,Transport,Ward 15
Project completion date extended by two months,NEUTRAL,3,Transport,Ward 25
"No street lights on dark lane, women feel unsafe",NEGATIVE,1,Electricity,Ward 42
"Road repair done poorly, breaking again within weeks",NEGATIVE,1,Roads,Ward 8
Road widening project expected to complete next month,NEUTRAL,3,Parks,Ward 17
"The government responded quickly to our complaint, well done",POSITIVE,4,Water,Ward 17
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,4,Parks,Ward 2
"Water quality has improved, no more complaints from residents",POSITIVE,4,Parks,Ward 6
Road widening project expected to complete next month,NEUTRAL,3,Healthcare,Ward 43
New contractor assigned for road repair work,NEUTRAL,3,Sanitation,Ward 8
"Construction work stopped midway, area looks terrible",NEGATIVE,1,Roads,Ward 45
"Bus route cancelled without notice, people suffering",NEGATIVE,2,Healthcare,Ward 42
The sanitation team is doing a commendable job,POSITIVE,4,Roads,Ward 26
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Roads,Ward 13
"Electricity outages have reduced significantly, great work",POSITIVE,5,Healthcare,Ward 9
Public toilet construction tender has been floated,NEUTRAL,3,Roads,Ward 3
"Construction noise at midnight, residents suffering",NEGATIVE,1,Parks,Ward 29
New project for park development announced for our ward,NEUTRAL,3,Transport,Ward 49
Solar street lights are a wonderful initiative,POSITIVE,4,Roads,Ward 16
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Sanitation,Ward 19
Traffic signal upgrade project is under review,NEUTRAL,3,Parks,Ward 16
Electricity cut for 3 days without any information,NEGATIVE,1,Public Safety,Ward 20
Drainage cleaning drive happening next week,NEUTRAL,3,Water,Ward 37
"Water supply erratic, pressure very low",NEGATIVE,1,Transport,Ward 32
"The government responded quickly to our complaint, well done",POSITIVE,5,Water,Ward 33
New bus route announcement expected soon,NEUTRAL,3,Water,Ward 49
"Footpath construction completed, senior citizens are happy",POSITIVE,4,Transport,Ward 3
Road widening project completed ahead of schedule,POSITIVE,4,Transport,Ward 37
Road dug up for pipeline but not restored for months,NEGATIVE,2,Transport,Ward 23
Construction of new school building underway,NEUTRAL,3,Parks,Ward 12
"Drainage work done excellently, no more waterlogging",POSITIVE,5,Transport,Ward 17
Environmental clearance received for park project,NEUTRAL,3,Sanitation,Ward 7
"Drainage work done excellently, no more waterlogging",POSITIVE,4,Water,Ward 46
New traffic signals have reduced accidents in our area,POSITIVE,4,Sanitation,Ward 35
Committee formed to review delayed projects,NEUTRAL,3,Water,Ward 16
Authorities not responding to any complaints,NEGATIVE,2,Construction,Ward 39
"Water quality has improved, no more complaints from residents",POSITIVE,5,Healthcare,Ward 17
New traffic signals have reduced accidents in our area,POSITIVE,4,Parks,Ward 33
Project completion date extended by two months,NEUTRAL,3,Water,Ward 4
Road widening project expected to complete next month,NEUTRAL,3,Healthcare,Ward 19
Project completion date extended by two months,NEUTRAL,3,Electricity,Ward 20
Hospital renovation work started last month,NEUTRAL,3,Electricity,Ward 21
Survey completed for new drainage line,NEUTRAL,3,Public Safety,Ward 39
"Street lights broken since 2 months, no action taken",NEGATIVE,2,Education,Ward 1
Garbage collection timings have been changed to morning,NEUTRAL,3,Sanitation,Ward 35
The sanitation team is doing a commendable job,POSITIVE,5,Water,Ward 9
Environmental clearance received for park project,NEUTRAL,3,Public Safety,Ward 50
New traffic signals have reduced accidents in our area,POSITIVE,5,Roads,Ward 46
Authorities not responding to any complaints,NEGATIVE,1,Water,Ward 43
Solar street lights are a wonderful initiative,POSITIVE,5,Parks,Ward 44
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,1,Public Safety,Ward 18
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Parks,Ward 13
The bridge repair was done with high quality materials,POSITIVE,5,Transport,Ward 36
"Road marking done properly, reduces accidents at night",POSITIVE,5,Transport,Ward 49
Electricity cut for 3 days without any information,NEGATIVE,1,Education,Ward 35
"Water supply erratic, pressure very low",NEGATIVE,2,Parks,Ward 48
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Transport,Ward 25
Solar street lights are a wonderful initiative,POSITIVE,4,Electricity,Ward 10
Pothole on main road not fixed even after 3 complaints,NEGATIVE,1,Sanitation,Ward 25
Hospital renovation work started last month,NEUTRAL,3,Parks,Ward 47
Authorities not responding to any complaints,NEGATIVE,2,Parks,Ward 40
Survey completed for new drainage line,NEUTRAL,3,Construction,Ward 7
"Garbage not collected for a week, health hazard",NEGATIVE,2,Education,Ward 34
"Quick action taken on our pothole complaint, impressed",POSITIVE,5,Construction,Ward 15
"Park renovation looks beautiful, children love it",POSITIVE,5,Parks,Ward 38
"Sewage line blocked for months, unbearable smell",NEGATIVE,2,Transport,Ward 50
"Sewage line blocked for months, unbearable smell",NEGATIVE,2,Construction,Ward 10
Road widening project completed ahead of schedule,POSITIVE,5,Water,Ward 32
Committee formed to review delayed projects,NEUTRAL,3,Sanitation,Ward 9
Garbage collection timings have been changed to morning,NEUTRAL,3,Public Safety,Ward 6
"Park facilities broken, children getting hurt",NEGATIVE,2,Electricity,Ward 5
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Public Safety,Ward 43
Garbage collection timings have been changed to morning,NEUTRAL,3,Sanitation,Ward 9
Committee formed to review delayed projects,NEUTRAL,3,Water,Ward 20
Authorities not responding to any complaints,NEGATIVE,2,Water,Ward 42
The bridge repair was done with high quality materials,POSITIVE,5,Roads,Ward 7
Pothole on main road not fixed even after 3 complaints,NEGATIVE,1,Sanitation,Ward 47
"The government responded quickly to our complaint, well done",POSITIVE,5,Transport,Ward 21
Public toilet construction tender has been floated,NEUTRAL,3,Public Safety,Ward 27
Great improvement in garbage collection frequency,POSITIVE,4,Roads,Ward 42
Water pipeline replacement work in progress,NEUTRAL,3,Transport,Ward 44
"Water supply has improved a lot in our area, thank you",POSITIVE,5,Transport,Ward 45
Water pipeline replacement work in progress,NEUTRAL,3,Parks,Ward 36
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Electricity,Ward 22
"Bus frequency has increased, commuting is easier",POSITIVE,4,Roads,Ward 48
"Electricity outages have reduced significantly, great work",POSITIVE,4,Education,Ward 5
New contractor assigned for road repair work,NEUTRAL,3,Water,Ward 18
Electricity cut for 3 days without any information,NEGATIVE,1,Transport,Ward 33
Great improvement in garbage collection frequency,POSITIVE,5,Healthcare,Ward 25
"Sewage line blocked for months, unbearable smell",NEGATIVE,2,Education,Ward 8
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Education,Ward 49
The contractor did excellent work on the drainage project,POSITIVE,5,Roads,Ward 3
Survey completed for new drainage line,NEUTRAL,3,Electricity,Ward 8
Road widening project expected to complete next month,NEUTRAL,3,Sanitation,Ward 48
"Quick action taken on our pothole complaint, impressed",POSITIVE,4,Healthcare,Ward 6
Bridge inspection scheduled for next week,NEUTRAL,3,Public Safety,Ward 5
Road widening project expected to complete next month,NEUTRAL,3,Sanitation,Ward 5
"Bus route cancelled without notice, people suffering",NEGATIVE,1,Transport,Ward 38
Public toilet construction tender has been floated,NEUTRAL,3,Transport,Ward 33
"Water supply erratic, pressure very low",NEGATIVE,2,Water,Ward 11
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,4,Transport,Ward 24
"Electricity outages have reduced significantly, great work",POSITIVE,4,Education,Ward 46
New school building construction is progressing well,POSITIVE,4,Construction,Ward 25
New contractor assigned for road repair work,NEUTRAL,3,Public Safety,Ward 13
"The road repair was completed on time, very happy with the work",POSITIVE,5,Healthcare,Ward 1
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Healthcare,Ward 9
"Construction work stopped midway, area looks terrible",NEGATIVE,1,Electricity,Ward 12
"No water supply for the past 5 days, very frustrated",NEGATIVE,1,Construction,Ward 38
Power outage scheduled for maintenance work,NEUTRAL,3,Transport,Ward 45
Committee formed to review delayed projects,NEUTRAL,3,Roads,Ward 4
Survey completed for new drainage line,NEUTRAL,3,Parks,Ward 14
Happy with the prompt response from civic authorities,POSITIVE,4,Parks,Ward 19
Authorities not responding to any complaints,NEGATIVE,2,Healthcare,Ward 29
"Drainage work done excellently, no more waterlogging",POSITIVE,4,Education,Ward 50
"Traffic signals not working, accidents happening daily",NEGATIVE,1,Public Safety,Ward 15
"The government responded quickly to our complaint, well done",POSITIVE,4,Sanitation,Ward 34
Project started but no updates for 6 months,NEGATIVE,2,Education,Ward 12
"No water supply for the past 5 days, very frustrated",NEGATIVE,2,Education,Ward 10
Street light maintenance scheduled for this weekend,NEUTRAL,3,Public Safety,Ward 8
Great improvement in garbage collection frequency,POSITIVE,4,Construction,Ward 15
New traffic signals have reduced accidents in our area,POSITIVE,4,Roads,Ward 16
"Electricity outages have reduced significantly, great work",POSITIVE,5,Education,Ward 8
New bus route announcement expected soon,NEUTRAL,3,Public Safety,Ward 35
New project for park development announced for our ward,NEUTRAL,3,Public Safety,Ward 30
"Park renovation looks beautiful, children love it",POSITIVE,5,Transport,Ward 24
Work order issued for pothole repair,NEUTRAL,3,Sanitation,Ward 22
"The road repair was completed on time, very happy with the work",POSITIVE,4,Electricity,Ward 41
Road marking work will start after monsoon,NEUTRAL,3,Transport,Ward 45
Hospital renovation work started last month,NEUTRAL,3,Sanitation,Ward 4
Work order issued for pothole repair,NEUTRAL,3,Parks,Ward 47
"No street lights on dark lane, women feel unsafe",NEGATIVE,1,Water,Ward 14
Bridge inspection scheduled for next week,NEUTRAL,3,Public Safety,Ward 29
Traffic signal upgrade project is under review,NEUTRAL,3,Public Safety,Ward 23
Road widening project completed ahead of schedule,POSITIVE,5,Water,Ward 38
Electricity cut for 3 days without any information,NEGATIVE,1,Water,Ward 15
"Contractor used substandard materials, work failing",NEGATIVE,2,Education,Ward 36
"No street lights on dark lane, women feel unsafe",NEGATIVE,2,Education,Ward 46
Road marking work will start after monsoon,NEUTRAL,3,Parks,Ward 29
"Contractor used substandard materials, work failing",NEGATIVE,1,Healthcare,Ward 11
Garbage collection timings have been changed to morning,NEUTRAL,3,Electricity,Ward 17
"Drainage work done excellently, no more waterlogging",POSITIVE,4,Water,Ward 22
Road repair work is ongoing in our sector,NEUTRAL,3,Water,Ward 26
Road repair work is ongoing in our sector,NEUTRAL,3,Parks,Ward 42
"Quick action taken on our pothole complaint, impressed",POSITIVE,5,Sanitation,Ward 8
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Electricity,Ward 14
Garbage collection timings have been changed to morning,NEUTRAL,3,Transport,Ward 12
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,2,Education,Ward 39
Construction of new school building underway,NEUTRAL,3,Construction,Ward 49
Solar street lights are a wonderful initiative,POSITIVE,5,Parks,Ward 33
"Garbage not collected for a week, health hazard",NEGATIVE,1,Parks,Ward 42
Bridge inspection scheduled for next week,NEUTRAL,3,Electricity,Ward 5
New school building construction is progressing well,POSITIVE,5,Roads,Ward 9
"No street lights on dark lane, women feel unsafe",NEGATIVE,1,Public Safety,Ward 46
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Construction,Ward 41
"Quick action taken on our pothole complaint, impressed",POSITIVE,4,Construction,Ward 31
Street light maintenance scheduled for this weekend,NEUTRAL,3,Water,Ward 6
"Garbage not collected for a week, health hazard",NEGATIVE,2,Sanitation,Ward 39
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,1,Roads,Ward 23
Committee formed to review delayed projects,NEUTRAL,3,Public Safety,Ward 50
"Street lights broken since 2 months, no action taken",NEGATIVE,2,Education,Ward 5
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,2,Water,Ward 9
"Water quality has improved, no more complaints from residents",POSITIVE,4,Electricity,Ward 49
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,1,Education,Ward 16
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,5,Transport,Ward 36
"The road repair was completed on time, very happy with the work",POSITIVE,4,Roads,Ward 17
"The government responded quickly to our complaint, well done",POSITIVE,4,Healthcare,Ward 37
"Road repair done poorly, breaking again within weeks",NEGATIVE,2,Public Safety,Ward 20
"Bus frequency has increased, commuting is easier",POSITIVE,5,Water,Ward 5
Drainage cleaning drive happening next week,NEUTRAL,3,Sanitation,Ward 38
Work order issued for pothole repair,NEUTRAL,3,Construction,Ward 47
"Sewage line blocked for months, unbearable smell",NEGATIVE,2,Water,Ward 50
The bridge repair was done with high quality materials,POSITIVE,4,Education,Ward 23
The bridge repair was done with high quality materials,POSITIVE,4,Electricity,Ward 43
"Water quality has improved, no more complaints from residents",POSITIVE,4,Sanitation,Ward 20
"Street lights are working perfectly now, feel safe at night",POSITIVE,4,Transport,Ward 9
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Transport,Ward 13
"Construction work stopped midway, area looks terrible",NEGATIVE,1,Education,Ward 6
"Park renovation looks beautiful, children love it",POSITIVE,4,Healthcare,Ward 7
Public toilets are now clean and well maintained,POSITIVE,4,Construction,Ward 45
The construction work was neat and professional,POSITIVE,4,Water,Ward 24
Happy with the prompt response from civic authorities,POSITIVE,4,Water,Ward 16
Road repair work is ongoing in our sector,NEUTRAL,3,Healthcare,Ward 33
"Electricity outages have reduced significantly, great work",POSITIVE,5,Construction,Ward 33
Road widening project completed ahead of schedule,POSITIVE,5,Healthcare,Ward 47
Committee formed to review delayed projects,NEUTRAL,3,Sanitation,Ward 36
Electricity department working on transformer upgrade,NEUTRAL,3,Electricity,Ward 10
Solar street lights are a wonderful initiative,POSITIVE,5,Sanitation,Ward 8
Electricity department working on transformer upgrade,NEUTRAL,3,Transport,Ward 45
Environmental clearance received for park project,NEUTRAL,3,Electricity,Ward 25
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,2,Sanitation,Ward 19
Pothole on main road not fixed even after 3 complaints,NEGATIVE,2,Water,Ward 35
Electricity department working on transformer upgrade,NEUTRAL,3,Parks,Ward 13
The construction work was neat and professional,POSITIVE,5,Electricity,Ward 32
Committee formed to review delayed projects,NEUTRAL,3,Education,Ward 5
Project completion date extended by two months,NEUTRAL,3,Water,Ward 43
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,2,Roads,Ward 16
Street light maintenance scheduled for this weekend,NEUTRAL,3,Parks,Ward 34
The sanitation team is doing a commendable job,POSITIVE,4,Parks,Ward 18
"Government hospital has no medicines, pathetic service",NEGATIVE,2,Healthcare,Ward 5
"Road repair done poorly, breaking again within weeks",NEGATIVE,1,Transport,Ward 49
"Water supply erratic, pressure very low",NEGATIVE,1,Construction,Ward 35
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Construction,Ward 44
Pothole on main road not fixed even after 3 complaints,NEGATIVE,2,Public Safety,Ward 36
"Complained 10 times about potholes, zero response",NEGATIVE,1,Electricity,Ward 43
"The government responded quickly to our complaint, well done",POSITIVE,5,Roads,Ward 21
"Public toilet in horrible condition, very unhygienic",NEGATIVE,2,Water,Ward 47
Happy with the prompt response from civic authorities,POSITIVE,5,Construction,Ward 44
"Water quality has improved, no more complaints from residents",POSITIVE,4,Water,Ward 29
Power outage scheduled for maintenance work,NEUTRAL,3,Public Safety,Ward 28
"Construction noise at midnight, residents suffering",NEGATIVE,1,Roads,Ward 14
Road widening project completed ahead of schedule,POSITIVE,5,Parks,Ward 47
Water pipeline replacement work in progress,NEUTRAL,3,Water,Ward 22
Traffic signal upgrade project is under review,NEUTRAL,3,Transport,Ward 20
"Street lights are working perfectly now, feel safe at night",POSITIVE,4,Electricity,Ward 15
Pothole on main road not fixed even after 3 complaints,NEGATIVE,1,Construction,Ward 44
"The government responded quickly to our complaint, well done",POSITIVE,5,Transport,Ward 16
"Park facilities broken, children getting hurt",NEGATIVE,2,Public Safety,Ward 25
"Water pipe burst causing damage, no immediate action",NEGATIVE,2,Public Safety,Ward 44
"Footpath construction completed, senior citizens are happy",POSITIVE,4,Construction,Ward 41
Hospital renovation work started last month,NEUTRAL,3,Transport,Ward 1
"Complaint registered, under review by department",NEUTRAL,3,Electricity,Ward 32
The contractor did excellent work on the drainage project,POSITIVE,5,Electricity,Ward 13
